OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"30296","2002",2002/08/11,2002/08/11,"9",12.000000000000000,42.796787261962891,"00000636"
"30297","2002",2002/07/21,,"1",,0.967982769012451,"00000617"
"30298","2002",2002/10/01,2002/10/03,"9",100.000000000000000,379.912231445312500,"00000675"
"30299","2002",2002/03/05,2002/03/08,"9",110.000000000000000,115.968467712402330,"00000743"
"30300","2002",2002/05/09,2002/05/09,"9",30.000000000000000,32.192970275878906,"00000761"
"30301","2002",2002/07/14,2002/07/20,"14",20.399999999999999,20.080581665039062,"00000602"
"30303","1971",1971/07/19,,"14",,489.272583007812500,"00000111"
"30304","1971",1971/07/03,,"14",,371.197113037109375,0000130T
"30305","1971",1971/08/14,,"14",,1040.056274414062500,"00000259"
"30306","1971",1971/08/15,,"14",,800.217651367187500,"00000206"
"30307","1971",1971/08/17,,"14",,110.056785583496094,0000206A
"30308","1971",1971/09/03,,"14",,574.818176269531250,"00000234"
"30309","1971",1971/10/28,,"14",,548.875915527343750,000343SJ
"30310","1971",1971/07/23,,"14",,974.377868652343864,0000078G
"30311","1971",1971/08/09,,"14",,895.919677734375000,"00000177"
"30312","1971",1971/06/26,,"14",,363.042541503906250,"00000055"
"30313","1971",1971/10/21,,"14",,731.620361328125000,"00000141"
"30317","1971",1971/09/05,1971/09/05,"4",395.000000000000000,374.880798339843750,"00000026"
"30318","1971",1971/11/07,,"14",,338.897094726562500,00000IRE
"30319","1971",1971/09/19,,"14",,425.118164062499943,00000IRE
"30320","1953",,,"9",,83.860427856445312,"00000004"
"30321","1974",1974/09/22,,"14",,5619.550292968750000,"00004940"
"30323","1975",1975/11/24,,"14",,324.277557373046875,"00000000"
"30324","1975",1975/05/10,1975/05/12,"9",420.000000000000000,695.766418457031250,"00000007"
"30325","1975",1975/08/24,,"9",,1341.523437500000000,"00000000"
"30326","1975",1975/11/23,,"14",,123.725059509277344,00067-18
"30327","1975",1975/12/28,,"14",,3019.416748046875000,"00000000"
"30328","1975",1975/08/02,,"14",,100.066467285156250,"00000000"
"30329","1975",1975/07/27,,"14",,262.842987060546875,"00000000"
"30330","1975",1975/11/11,,"14",,219.977905273437500,"00000000"
"30331","1975",1975/09/03,,"14",,1093.796997070312500,"00000000"
"30332","1975",1975/05/24,,"14",,311.336883544921875,"00000323"
"30333","1975",1975/05/10,,"14",,485.269317626953125,"00000170"
"30334","1975",1975/07/26,,"14",,234.203125000000000,"00000193"
"30335","1975",1975/08/09,,"14",,441.363281250000000,"00000216"
"30336","1975",1975/06/29,1975/06/30,"8",310.000000000000000,292.556365966796875,"00000024"
"30337","1975",1975/07/27,,"9",,7094.152343750000000,"00000008"
"30338","1975",1975/07/03,,"14",,667.260070800781364,"00000084"
"30342","1977",1977/08/03,,"1",,351.551177978515625,"00000099"
"30343","1977",1977/08/20,1977/08/21,"1",20.000000000000000,16.267665863037109,"00000084"
"30344","1977",1977/08/02,1977/08/04,"1",12.000000000000000,9.203043937683105,"00000118"
"30345","1978",1978/07/17,,"14",,51.613395690917969,"00000000"
"30346","1979",1979/09/07,,"14",,2.483107328414917,"00000000"
"30347","1979",1979/06/04,,"14",,33.864955902099609,"00000000"
